,17_group,18_group,blended,fall_1,fall_2,fall_3,id,is_first_place,is_first_time,is_last_place,is_mi,is_ml_student,percentile,rating,spring_1,spring_2,spring_3,timestamp
0,0.0,181.0,,Язык SQL,Высокопроизводительные вычисления,Матричные вычисления,93ff79a51cd602f1dd3028ba2c129503,True,Да,False,0.0,0.0,0.1838565022421524,698,Дискретная оптимизация,Численные методы,Машинное обучение 2,2020-05-15 01:12:50.543
1,0.0,181.0,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Язык SQL,26b01b1c4cd5656bab18d24c548834fb,False,Нет,False,0.0,0.0,0.4260089686098655,647,Дискретная оптимизация,Численные методы,Машинное обучение 2,2020-05-15 02:46:48.066
2,0.0,185.0,,Безопасность компьютерных систем,Матричные вычисления,Моделирование временных рядов,30f3653fc176d54e89ac3179c455c6dd,False,Да,False,0.0,0.0,0.5381165919282511,624,Дискретная оптимизация,Машинное обучение 2,Численные методы,2020-05-15 03:12:41.480
3,0.0,182.0,,Statistical Learning Theory,Высокопроизводительные вычисления,Матричные вычисления,1528f0eaa027580820ccf0d92a53ad68,False,Да,False,0.0,0.0,0.7443946188340806,579,Дискретная оптимизация,Численные методы,Машинное обучение 2,2020-05-15 04:43:08.994
4,0.0,183.0,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,496ea4f0d4abe264b1bb1b80eb3830c5,False,Да,False,0.0,0.0,0.7802690582959642,572,Компьютерные сети,Дискретная оптимизация,Численные методы,2020-05-15 07:47:17.197
5,0.0,187.0,,Язык SQL,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,d0d8ff53ed5b119f9056068e954256c6,False,Да,False,0.0,0.0,0.6905829596412556,591,Промышленное программирование на языке Java,Численные методы,Дискретная оптимизация,2020-05-15 09:10:18.558
6,0.0,181.0,,Statistical Learning Theory,Безопасность компьютерных систем,Моделирование временных рядов,e4caca755ee0bdd711e18fb8084958b5,False,Да,False,0.0,0.0,0.1031390134529148,724,Численные методы,Промышленное программирование на языке Java,Машинное обучение 2,2020-05-15 11:42:16.910
7,0.0,187.0,,Язык SQL,Теория баз данных,Безопасность компьютерных систем,8047c18b3c531c6f47931e0744f3e028,False,Да,False,0.0,0.0,0.8026905829596412,566,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-15 12:11:43.252
8,0.0,181.0,,Язык SQL,Теория баз данных,Матричные вычисления,e8b314842f176be9051d14a07cb156cb,False,Да,False,0.0,0.0,0.5650224215246638,618,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-15 13:21:40.913
9,0.0,181.0,,Теория баз данных,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,d6c079f1ff869c8c84fa3ed30bd67e0e,False,Да,False,0.0,1.0,0.08520179372197312,733,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,Численные методы,2020-05-15 13:29:10.789
10,0.0,186.0,,Принятие решений в условиях риска и неопределённости,Моделирование временных рядов,Матричные вычисления,57c331c5a1b473501d86dfd23421bb5c,False,Да,False,0.0,0.0,0.5426008968609866,623,Анализ данных в бизнесе,Численные методы,Машинное обучение 2,2020-05-15 13:46:31.518
11,0.0,187.0,,Язык SQL,Теория баз данных,Сбор и обработка данных с помощью краудсорсинга,3de75278c0cdb78bbe54267f65c67d25,False,Да,False,0.0,0.0,0.8116591928251121,563,Промышленное программирование на языке Java,Системы баз данных,Анализ данных в бизнесе,2020-05-15 14:52:24.210
12,0.0,183.0,,Высокопроизводительные вычисления,Язык SQL,Безопасность компьютерных систем,77c7b37ee521df16ccff23ba50c893d4,False,Да,False,0.0,0.0,0.07623318385650224,735,Компьютерные сети,Промышленное программирование на языке Java,Машинное обучение 2,2020-05-15 16:13:05.416
13,0.0,183.0,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,23484c24b8d551a189015750171974cd,False,Да,False,0.0,0.0,0.08071748878923768,734,Компьютерные сети,Дискретная оптимизация,Машинное обучение 2,2020-05-15 16:19:15.181
14,0.0,183.0,,Безопасность компьютерных систем,Моделирование временных рядов,Принятие решений в условиях риска и неопределённости,105209181e880d891f19de83b4b1478d,False,Да,False,0.0,1.0,0.1524663677130045,706,Анализ данных в бизнесе,Дискретная оптимизация,Системы баз данных,2020-05-15 16:46:00.536
15,0.0,183.0,,Statistical Learning Theory,Матричные вычисления,Моделирование временных рядов,80a0660d40d5e2f3e3b9bb8a4383db74,False,Да,False,0.0,1.0,0.3542600896860987,662,Анализ данных в бизнесе,Дискретная оптимизация,Системы баз данных,2020-05-15 16:53:27.904
16,0.0,181.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,64173586abab6f7a172946c8c74bde0d,False,Да,False,0.0,0.0,0.5022421524663677,630,Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,2020-05-15 16:58:06.959
17,0.0,185.0,,Язык SQL,Высокопроизводительные вычисления,Безопасность компьютерных систем,4b019ecb89626c8752a1d962b63c8a4b,False,Да,False,0.0,0.0,0.3183856502242153,669,Компьютерные сети,Промышленное программирование на языке Java,Системы баз данных,2020-05-15 17:33:08.592
18,0.0,182.0,,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,af20596134e83f3ca61259b325aa9688,False,Да,True,0.0,0.0,0.9730941704035875,519,Машинное обучение 2,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,2020-05-15 19:44:33.132
19,0.0,181.0,,Сбор и обработка данных с помощью краудсорсинга,Сбор и обработка данных с помощью краудсорсинга,Сбор и обработка данных с помощью краудсорсинга,86d929f6fd741e56e93cee5900298849,True,Да,False,0.0,0.0,0.008968609865470878,761,Дополнительные главы прикладной статистики,Дополнительные главы прикладной статистики,Дополнительные главы прикладной статистики,2020-05-15 21:34:32.550
20,0.0,181.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Принятие решений в условиях риска и неопределённости,f0f6f3881894172a0f04e79b554b49e6,False,Да,False,0.0,1.0,0.3004484304932735,673,Машинное обучение 2,Численные методы,Дополнительные главы прикладной статистики,2020-05-15 21:55:16.699
21,0.0,183.0,,Матричные вычисления,Высокопроизводительные вычисления,Безопасность компьютерных систем,d3b992fe1016d7951d335db002d43dec,False,Да,False,0.0,0.0,0.6457399103139013,601,Дискретная оптимизация,Численные методы,Компьютерные сети,2020-05-15 22:06:56.284
22,0.0,184.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Матричные вычисления,a65d50ef4fadfac64508a54e972d8623,False,Нет,False,0.0,0.0,0.5269058295964126,626,Дискретная оптимизация,Численные методы,Анализ данных в бизнесе,2020-05-15 22:30:31.902
23,0.0,181.0,,Безопасность компьютерных систем,Теория баз данных,Язык SQL,cddf159101f9a5a30f9041ceebdb2835,False,Да,False,0.0,0.0,0.4080717488789237,651,Дискретная оптимизация,Компьютерные сети,Системы баз данных,2020-05-15 22:41:51.724
24,0.0,181.0,,Теория баз данных,Безопасность компьютерных систем,Язык SQL,d82c2df25b8b36cd655077b4a885e1f7,False,Да,False,0.0,0.0,0.5964125560538116,612,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-15 22:58:10.827
25,0.0,182.0,,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Моделирование временных рядов,a0c56e8aa03ea6c1f5e8462914472075,False,Да,False,0.0,1.0,0.04484304932735428,751,Дополнительные главы прикладной статистики,Дискретная оптимизация,Численные методы,2020-05-15 22:59:40.602
26,0.0,182.0,,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Моделирование временных рядов,5daee1bd98559bb2c52373e416942225,False,Нет,False,0.0,1.0,0.6816143497757847,593,Машинное обучение 2,Промышленное программирование на языке Java,Анализ данных в бизнесе,2020-05-16 13:02:24.706
27,0.0,186.0,,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,Высокопроизводительные вычисления,64b63332f8e86fa32969cfe0c167dbea,False,Нет,False,0.0,0.0,0.2511210762331838,684,Машинное обучение 2,Анализ данных в бизнесе,Промышленное программирование на языке Java,2020-05-16 14:40:48.012
28,0.0,185.0,,Безопасность компьютерных систем,Теория баз данных,Язык SQL,b121e4d7d62387cd5199cca464a34a6d,False,Нет,False,0.0,0.0,0.2040358744394619,694,Машинное обучение 2,Компьютерные сети,Промышленное программирование на языке Java,2020-05-16 15:01:06.274
29,0.0,188.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,7df351e9f3a719f6c29e811e2578fcc6,False,Да,False,0.0,0.0,0.600896860986547,611,Компьютерные сети,Системы баз данных,Машинное обучение 2,2020-05-16 17:44:55.307
30,0.0,187.0,,Язык SQL,Безопасность компьютерных систем,Теория баз данных,c7f347b466ff14ec85103f61c4d6ff8e,False,Да,False,0.0,0.0,0.4573991031390134,640,Машинное обучение 2,Машинное обучение 2,Промышленное программирование на языке Java,2020-05-16 19:23:31.349
31,0.0,183.0,,Матричные вычисления,Язык SQL,Принятие решений в условиях риска и неопределённости,73282cacef07625adb2f9b4e2d57240e,False,Нет,False,0.0,0.0,0.7623318385650224,575,Дискретная оптимизация,Численные методы,Промышленное программирование на языке Java,2020-05-16 20:46:40.318
32,0.0,187.0,,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,Матричные вычисления,9c656049fc55775bb9215d12aabf5881,False,Да,False,0.0,1.0,0.6771300448430493,594,Промышленное программирование на языке Java,Анализ данных в бизнесе,Компьютерные сети,2020-05-16 21:06:51.168
33,0.0,182.0,,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,Принятие решений в условиях риска и неопределённости,2662600c2c37e11e62f6ee0b88452f22,False,Да,False,1.0,0.0,0.5201793721973094,627,Машинное обучение 2,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,2020-05-16 21:11:40.100
34,0.0,184.0,,Безопасность компьютерных систем,Теория баз данных,Высокопроизводительные вычисления,d37fe725a8ee1d1b263463baf7560fd4,False,Да,False,0.0,0.0,0.05381165919282516,748,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-16 21:43:04.275
35,0.0,186.0,,Безопасность компьютерных систем,Statistical Learning Theory,Матричные вычисления,2ba0a356c95af4fe74272e708082086f,False,Да,False,0.0,1.0,0.304932735426009,672,Дискретная оптимизация,Компьютерные сети,Системы баз данных,2020-05-16 22:06:23.814
36,0.0,181.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Матричные вычисления,e3d4f9a7b947ebc03d345dd9e14b5d2c,False,Да,False,0.0,0.0,0.9596412556053812,524,Дискретная оптимизация,Машинное обучение 2,Компьютерные сети,2020-05-16 23:32:44.820
37,0.0,187.0,,Язык SQL,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,ab5248060fbaac411a79a62dfb0d263d,False,Да,False,0.0,1.0,0.9461883408071748,528,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Промышленное программирование на языке Java,2020-05-16 23:49:50.765
38,0.0,187.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Язык SQL,d38ebd0ba564ea88de8015e116f811c8,False,Да,False,0.0,0.0,0.8834080717488789,546,Компьютерные сети,Промышленное программирование на языке Java,Дискретная оптимизация,2020-05-17 00:54:43.939
39,0.0,185.0,,Безопасность компьютерных систем,Теория баз данных,Язык SQL,c97ab5cabace9f00673cc8384771aa9c,False,Да,False,0.0,0.0,0.8609865470852018,552,Компьютерные сети,Промышленное программирование на языке Java,Машинное обучение 2,2020-05-17 01:48:02.632
40,0.0,187.0,,Statistical Learning Theory,Моделирование временных рядов,Высокопроизводительные вычисления,9808df02cd92ed45df39e6bc748f3179,False,Да,False,0.0,0.0,0.4349775784753364,645,Машинное обучение 2,Системы баз данных,Компьютерные сети,2020-05-17 10:27:38.042
41,0.0,181.0,,Матричные вычисления,Язык SQL,Безопасность компьютерных систем,b6bf56b8b8ffd1666036b0a8ca01c452,False,Да,False,0.0,0.0,0.9147982062780269,537,Компьютерные сети,Промышленное программирование на языке Java,Системы баз данных,2020-05-17 12:04:22.843
42,0.0,184.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Statistical Learning Theory,39cd1820459fdbcc193f9bb0ddb74a58,False,Да,False,1.0,0.0,0.6233183856502242,606,Машинное обучение 2,Промышленное программирование на языке Java,Анализ данных в бизнесе,2020-05-17 12:11:23.296
43,0.0,185.0,,Матричные вычисления,Принятие решений в условиях риска и неопределённости,Теория баз данных,5d9c9087b5a851ecb6bba1bc916b684f,False,Да,False,0.0,0.0,0.2690582959641256,680,Численные методы,Машинное обучение 2,Промышленное программирование на языке Java,2020-05-17 12:36:33.965
44,0.0,186.0,,Сбор и обработка данных с помощью краудсорсинга,Безопасность компьютерных систем,Матричные вычисления,a37a88d97b12fe90dd83dd548866b2bb,False,Да,False,0.0,1.0,0.1748878923766816,701,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-17 13:24:57.167
45,0.0,184.0,,Безопасность компьютерных систем,Моделирование временных рядов,Высокопроизводительные вычисления,34f75b81eb7b1cc9e9e4ef5bfd7fa69a,False,Да,False,0.0,0.0,0.2780269058295964,678,Машинное обучение 2,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,2020-05-17 14:04:41.159
46,0.0,182.0,,Безопасность компьютерных систем,Матричные вычисления,Высокопроизводительные вычисления,e5fb2c5a9d8a09915b15d14bf6cf3174,False,Да,False,0.0,0.0,0.04035874439461884,753,Дискретная оптимизация,Компьютерные сети,Численные методы,2020-05-17 16:15:12.312
47,0.0,185.0,,Теория баз данных,Язык SQL,Безопасность компьютерных систем,f8c83b338162bb41af2851b5e62f84d0,False,Да,False,0.0,0.0,0.8789237668161435,547,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,2020-05-17 16:39:53.941
48,0.0,188.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,323f162a5cad5f11e84bf294dd73197e,False,Да,False,0.0,0.0,0.6278026905829597,605,Машинное обучение 2,Анализ данных в бизнесе,Компьютерные сети,2020-05-17 17:40:31.867
49,0.0,182.0,,Моделирование временных рядов,Statistical Learning Theory,Язык SQL,28cd79966197dc97bafed62bc8c48bbd,False,Да,False,0.0,0.0,0.6995515695067265,589,Анализ данных в бизнесе,Системы баз данных,Дискретная оптимизация,2020-05-17 18:21:13.570
50,0.0,183.0,,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,Матричные вычисления,ef8c6afd958da5f51429948f090432da,False,Да,False,0.0,0.0,0.9641255605381166,522,Машинное обучение 2,Дискретная оптимизация,Численные методы,2020-05-17 18:45:15.768
51,0.0,181.0,,Моделирование временных рядов,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,c3c0a0524bae841e5f9a56cf967cd423,False,Да,False,0.0,1.0,0.327354260089686,667,Промышленное программирование на языке Java,Системы баз данных,Компьютерные сети,2020-05-17 20:06:13.347
52,0.0,182.0,,Матричные вычисления,Statistical Learning Theory,Моделирование временных рядов,9abd31fe9761b5abd56524915237c1ea,False,Да,False,0.0,1.0,0.3139013452914798,670,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,Промышленное программирование на языке Java,2020-05-17 20:42:32.811
53,0.0,181.0,,Матричные вычисления,Теория баз данных,Statistical Learning Theory,48ba69e4b13182a6d89499fd9a2c8f46,False,Да,False,0.0,1.0,0.08968609865470856,732,Дискретная оптимизация,Промышленное программирование на языке Java,Численные методы,2020-05-17 21:26:07.718
54,0.0,184.0,,Безопасность компьютерных систем,Теория баз данных,Высокопроизводительные вычисления,447a377d20b3181f0436c72c19a48c37,False,Да,False,0.0,0.0,0.06278026905829592,741,Промышленное программирование на языке Java,Дискретная оптимизация,Компьютерные сети,2020-05-17 23:48:54.218
55,0.0,188.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Моделирование временных рядов,c84186d57fd935e228cdeddb0ce0bf2c,False,Да,False,0.0,0.0,0.1121076233183856,722,Машинное обучение 2,Дискретная оптимизация,Промышленное программирование на языке Java,2020-05-18 00:28:59.780
56,0.0,184.0,,Безопасность компьютерных систем,Матричные вычисления,Язык SQL,17676f1d09ba15d060a7352e4308661a,False,Да,False,0.0,0.0,0.547085201793722,622,Дискретная оптимизация,Компьютерные сети,Промышленное программирование на языке Java,2020-05-18 01:12:33.756
57,0.0,185.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Теория баз данных,518a8ad312d0db47e23eeadf9f4220d1,False,Да,False,0.0,1.0,0.1345291479820628,711,Промышленное программирование на языке Java,Анализ данных в бизнесе,Дискретная оптимизация,2020-05-18 02:08:02.560
58,0.0,183.0,,Матричные вычисления,Высокопроизводительные вычисления,Безопасность компьютерных систем,0f114e98d9f732aa51db34f687db2655,False,Да,False,0.0,0.0,0.179372197309417,699,Дискретная оптимизация,Численные методы,Дополнительные главы прикладной статистики,2020-05-18 09:51:45.860
59,0.0,186.0,,Моделирование временных рядов,Матричные вычисления,Принятие решений в условиях риска и неопределённости,796d174c592006376963b8f31e818dbf,False,Да,False,0.0,0.0,0.3901345291479821,655,Численные методы,Дополнительные главы прикладной статистики,Машинное обучение 2,2020-05-18 09:55:04.596
60,0.0,188.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,4add93dff84a52a0b3d690f07aa081d4,False,Да,False,0.0,1.0,0.09865470852017932,725,Дискретная оптимизация,Численные методы,Дополнительные главы прикладной статистики,2020-05-18 10:47:46.496
61,0.0,186.0,,Сбор и обработка данных с помощью краудсорсинга,Теория баз данных,Высокопроизводительные вычисления,dcc2e3447043d6d70a90c9c924314695,False,Да,False,0.0,1.0,0.1659192825112108,703,Промышленное программирование на языке Java,Дискретная оптимизация,Численные методы,2020-05-18 11:12:15.849
